[2025-07-08 09:50:09 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/massive-stahlzaeune/ has been purged, triggered by action: save_post 
[2025-07-08 09:50:09 : INFO] - Cache for archive page associated with post_type: products and Title: "Massive Stahlzaune" has been purged, triggered by action: save_post 
[2025-07-08 10:08:55 : INFO] - Cache for URL: https://www.diezaunprofis.at/?page_id=2043 has been purged, triggered by action: save_post 
[2025-07-08 11:57:43 : INFO] - Cache for URL: https://www.diezaunprofis.at/?page_id=2045 has been purged, triggered by action: save_post 
[2025-07-08 11:58:59 : INFO] - Cache for URL: https://www.diezaunprofis.at/test/ has been purged, triggered by action: save_post 
[2025-07-08 11:59:00 : INFO] - Cache for URL: https://www.diezaunprofis.at/test/ has been purged, triggered by action: save_post 
[2025-07-08 12:00:22 : INFO] - Cache for URL: https://www.diezaunprofis.at/?page_id=2045 has been purged, triggered by action: save_post 
[2025-07-08 12:02:48 : INFO] - Cache for URL: https://www.diezaunprofis.at/test/ has been purged, triggered by action: save_post 
[2025-07-08 12:02:49 : INFO] - Cache for URL: https://www.diezaunprofis.at/test/ has been purged, triggered by action: save_post 
[2025-07-08 12:59:27 : INFO] - Cache for URL: https://www.diezaunprofis.at/test/ has been purged, triggered by action: wp_trash_post 
[2025-07-08 12:59:27 : INFO] - Cache for URL: https://www.diezaunprofis.at/?page_id=2045 has been purged, triggered by action: save_post 
[2025-07-09 07:42:27 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2025-07-09 08:13:56 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2025-07-09 08:14:12 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2025-07-09 08:32:45 : INFO] - Pruning the Cache log file 
[2025-07-09 08:34:24 : INFO] - Full Cache Purge triggered by: WP_Optimize_Cache_Commands::purge_page_cache 
[2025-07-09 10:47:09 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2025-07-09 10:47:43 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2025-07-09 10:52:08 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2025-07-10 07:41:45 : INFO] - Full Cache Purge triggered by: WP_Optimize_Cache_Commands::purge_page_cache 
[2025-07-10 07:41:48 : INFO] - Full Cache Purge triggered by: WP_Optimize_Cache_Commands::purge_page_cache 
[2025-07-10 07:42:43 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2025-07-10 07:42:43 : INFO] - Full Cache Purge triggered by: WPO_Page_Cache::disable 
[2025-07-10 07:42:43 : INFO] - Full Cache Purge triggered by: WP_Optimize_Minify_Cache_Functions::purge_others 
